@iAsadM Yaar Woh Banda PIA aircraft ko Ghusal dey raha hay. Us per bhi aap.logon ko Problem hay... What an Irony...	881585651627548672	irony
Irony died a brutal death. Koun panauti word use kar raha hai:-/ abe chakke semi hit  ki paidayesh..apne muh se badi baat mt kr https://twitter.com/beingvoiceless/status/881514253823422465 …	881526005126623232	non-irony
Aisa lag raha hai jaise poore Hindustan ki abaadi aakar bol rahi hai ki "JHMS ka buzz nahi". The Irony	881433477853306880	non-irony
Wah wah...Kya baat h...Tum to jaise kisi ki fan ho hi nahi ?  IRONY	881398008088285185	irony
Panama waale #GST ka prachaar kar rahe hain... Irony on India	881358288423493632	irony
yess i can't stand him lekin Imad ke liye dekh rahi hoon aur Imad ne hi dil tid diya  #irony	881236902577192961	irony
Irony hai Vivek. Gana itta achha.. gaane wali koi nahi .. #oksorrybye	881125965472169984	irony
Irony to badi gandu hai yaar	881039520203907072	non-irony
Irony bhi Panama Nahar ka pata puchh rahi thi ....  #GST	880880058298138625	irony
Sari zindagi doosron ki maa behen ki maa behen karnay walay aaj "Maryam Qaum ki Beti Hay" trend kar rahay hain, irony's death!	880831051140141056	irony
Bhart me yah kitani big irony hai ki desh ke defence minister and finance minister ek hee hai Arun Jetalee .kamal hai	880825412527431680	irony
Dusron ki bajani hoti hai tab tujhe public private nahi dikhta. Maine ek valid point kar diya toh khopche mein batau. Kyu? Irony!	880762772153286656	irony
Janwar Ko Bachane Ke Liye, Insaan Ko Maar Rahe Hai!!!  #NotInMyName #irony #toomuchviolence #hinduismonitspeak	880687165470109696	irony
Ye logic dekhiye agar PM nahi bolthe Hain tho Jo ayyub & Sameer ko maara wo culprits nahi hain. Irony gaya bhad me... https://twitter.com/ShuklaJitups/status/880649356067696640 …	880653412098027525	irony
Irony ka intaqaal to tab ho gaya jab Madam ne 'Orwellian' bol diya	843365459412107264	irony
Duniy ki koi bhi ladki single nhi hai, or sabse single banda hu me,  What a irony	843319158733463553	irony
mere pados wale uncle ne tana marte huye kaha dekho mera beta clerk ban gaya aur tu abhi samaj sewa me hi laga hai . Irony...	843318612463161344	irony
Yogi Adityanath anagrams to Hata Diya Tiny Go #irony #YogiAdityanath	843099712941146112	irony
almost confirmed  yeh kaise hota hain bhaiya #irony https://twitter.com/India_Policy/status/843053213758754817 …	843053601928888320	non-irony
Yeh kis maqam pe laya junoon khuda janay Sambhal sambhal k qadam rakh rahy hain deewanay~  The wajd-inducing irony	843050411086893057	non-irony
irony, jo khud suspend ho chuke hai wo dusro pe Vote daalre :P  @Zupergirll	842976704670908416	irony
jab #PIB waalon se ziyadti hogi to woh bhi #Altaf bhai ko yaad karain ge   The irony of things here #MQM	842849851784097792	irony
irony day mana raye Ho?	842820550762397697	non-irony
Jinki Masjiden ek na ho saki, woh #elections me kya ek honge, Dalit aur Yadav Hindu ban gaye, Par tum Deobandi Barelvi hi rah gaye. #Irony	842341578974892032	irony
bharat ke tukde ke khwab dekhane wale jaychand system ko blam kar rahe hai....irony @sumitgaroriya	842227759061598208	irony
